nomes,idade,cidade,estado,cpf,cnpj,isvalid_cpf,isvalid_cnpj
George Parker,54,ACORIZAL,MT,73821454768,50064484337253,True,True
Christina Garcia,78,ABAETETUBA,PA,64474807456,94346519961382,True,True
Amanda Weber,34,ÁGUA BRANCA,PB,20342868470,55785840019975,True,True
Melissa Smith,51,ABREU E LIMA,PE,59219052326,80692673177609,True,True
Sabrina Lambert,18,ACAUÃ,PI,20180795902,65334512439956,True,True
Danielle Huang,38,ABATIÁ,PR,87808203017,89278953939752,True,True
Nicholas Jennings,87,ANGRA DOS REIS,RJ,62130611770,92444539047707,True,True
Heather Chandler,76,ACARI,RN,57351053456,25066467208157,True,True
Jennifer Wright,68,ALTA FLORESTA D'OESTE,RO,51134901720,65590218597144,True,True
Ryan Hughes,78,AMAJARI,RR,70996388745,44553557910008,True,True
Raymond Horton,69,ACEGUÁ,RS,99046710874,51506207126002,True,True
Teresa Miller,87,ABDON BATISTA,SC,45881854543,49560718506211,True,True
Donna Walker,52,AMPARO DE SÃO FRANCISCO,SE,92289615200,61225420148400,True,True
Rebecca Castro,22,ADAMANTINA,SP,56742584572,25892319849065,True,True
Nathan English,21,ABREULÂNDIA,TO,67068448291,48030566331547,True,True
Larry Lee,53,ACRELÂNDIA,AC,09668342755,66339841428322,True,True
Brian Harmon,56,ÁGUA BRANCA,AL,70404385346,37964129744820,True,True
James Hansen,68,ALVARÃES,AM,13350204465,73728445364877,True,True
Shane Holmes,48,SERRA DO NAVIO,AP,50508918332,49053483996775,True,True
Joanne Christian,30,ABAÍRA,BA,97045848226,57579729340101,True,True
Jeremiah Medina,31,ABAIARA,CE,81664137521,54867324602800,True,True
Katherine Avila,62,BRASÍLIA,DF,13913666702,12790768735470,True,True
Patricia Ellis Md,88,AFONSO CLÁUDIO,ES,87226240742,40583003377132,True,True
Daniel Jackson,48,ABADIA DE GOIÁS,GO,97225407180,21214714812460,True,True
Maureen Allen,38,AÇAILÂNDIA,MA,52349265242,14231525176186,True,True
Monica Daugherty,70,ABADIA DOS DOURADOS,MG,98160890095,38011728267783,True,True
Vincent Scott,33,ÁGUA CLARA,MS,83396133242,27123764024577,True,True
Angela Sanchez,35,ACORIZAL,MT,52170558390,95840309456841,True,True
Jennifer Garcia,46,ABAETETUBA,PA,67718202976,61424407966302,True,True
Edward Smith,40,ÁGUA BRANCA,PB,67552002476,73889098538447,True,True
Megan Vargas,67,ABREU E LIMA,PE,87326070326,26916499716235,True,True
Brian Nielsen Md,79,ACAUÃ,PI,92175413624,26321465317255,True,True
Adrian Johnson,39,ABATIÁ,PR,42676455311,69710784448955,True,True
Richard Calhoun,86,ANGRA DOS REIS,RJ,97962537639,27640448444350,True,True
Jessica Parker,67,ACARI,RN,54919112670,77065200522447,True,True
Gina Murphy Dds,29,ALTA FLORESTA D'OESTE,RO,64449873262,97280855179538,True,True
Angie Martin,61,AMAJARI,RR,29424532067,46959462762902,True,True
Steve Wall,89,ACEGUÁ,RS,85471063759,36637330286785,True,True
Pamela Fox,40,ABDON BATISTA,SC,86746368700,53906686204226,True,True
Monique Taylor,56,AMPARO DE SÃO FRANCISCO,SE,07920592801,47566687524181,True,True
Kimberly Moody,55,ADAMANTINA,SP,18488167903,27669974156399,True,True
Matthew Kim,24,ABREULÂNDIA,TO,54772834915,54265457732506,True,True
Dustin Rodriguez,35,ACRELÂNDIA,AC,74491446970,82335425652458,True,True
Caroline Ward,74,ÁGUA BRANCA,AL,22237340064,55309865842755,True,True
Duane Hill,84,ALVARÃES,AM,48817022705,53548551071090,True,True
Christopher Gomez,46,SERRA DO NAVIO,AP,51713647028,33393922129362,True,True
Nicholas Simon,82,ABAÍRA,BA,24152344270,57407548154566,True,True
Corey Jones,28,ABAIARA,CE,53026159247,26387846223259,True,True
Tara Lopez,88,BRASÍLIA,DF,33727732334,21721806610052,True,True
David Johnson,77,AFONSO CLÁUDIO,ES,36131315604,63304988271635,True,True
Patrick Spencer,89,ABADIA DE GOIÁS,GO,78481843580,24763831008834,True,True
Katherine Chapman,34,AÇAILÂNDIA,MA,33709159369,96235786933606,True,True
Andrew Caldwell,23,ABADIA DOS DOURADOS,MG,75154760018,82034663546666,True,True
Catherine Graham,81,ÁGUA CLARA,MS,51991957785,58423274433010,True,True
Tracy Jordan,32,ACORIZAL,MT,53677379350,27333507532557,True,True
Vanessa Everett,56,ABAETETUBA,PA,73580714686,91810297735815,True,True
David Smith,49,ÁGUA BRANCA,PB,86174871940,85677828527229,True,True
Jared Savage,60,ABREU E LIMA,PE,74376070262,20544040694014,True,True
Kristin Harris,42,ACAUÃ,PI,11197597573,13345967504627,True,True
Paige Allen,73,ABATIÁ,PR,71280449497,19429435842460,True,True
Laura Villarreal,56,ANGRA DOS REIS,RJ,22430496275,67679610330860,True,True
Crystal Combs,51,ACARI,RN,91645834573,35377908421620,True,True
Raymond Wright,67,ALTA FLORESTA D'OESTE,RO,01028626215,89686853642916,True,True
Tina Duke,68,AMAJARI,RR,29036772982,24102274988139,True,True
Michael Smith,54,ACEGUÁ,RS,61326750518,24798344587300,True,True
Heather Woods,60,ABDON BATISTA,SC,37713115005,20032428131066,True,True
Jennifer Taylor,63,AMPARO DE SÃO FRANCISCO,SE,58160629990,68323214063720,True,True
Lisa Lawson,20,ADAMANTINA,SP,97252324370,20829552919126,True,True
Marc Goodwin,18,ABREULÂNDIA,TO,12814069020,36554571126992,True,True
Mark Johnson,57,ACRELÂNDIA,AC,80966903889,36144804937014,True,True
Gloria Guzman,21,ÁGUA BRANCA,AL,52042716006,31128786545220,True,True
Richard Carpenter,61,ALVARÃES,AM,81692059050,02002676259984,True,True
Eric Cabrera,52,SERRA DO NAVIO,AP,73651012530,92505142451724,True,True
Michael Smith,81,ABAÍRA,BA,04925315447,40365755101997,True,True
Donald Roberson,25,ABAIARA,CE,18724803570,17895832750387,True,True
Jennifer Barnes,61,BRASÍLIA,DF,70985986239,48182839118387,True,True
Summer Flores,78,AFONSO CLÁUDIO,ES,94272127136,65733011705847,True,True
Alan Greene,77,ABADIA DE GOIÁS,GO,98920407169,99435816912104,True,True
Larry Waters,53,AÇAILÂNDIA,MA,41964897530,59273324725035,True,True
Jeffrey Cohen,51,ABADIA DOS DOURADOS,MG,39813713216,52242900128102,True,True
David Adams,44,ÁGUA CLARA,MS,65234730158,41088531254000,True,True
Philip Burns,27,ACORIZAL,MT,45438017174,49803035272310,True,True
Adriana Campos,31,ABAETETUBA,PA,39110714260,56823891204216,True,True
Stephen Murray,62,ÁGUA BRANCA,PB,25672902650,32917216839439,True,True
James Wilson,79,ABREU E LIMA,PE,14245307250,13696660040313,True,True
Jonathan Valdez,71,ACAUÃ,PI,08784214678,55176103343802,True,True
Tonya Hudson,82,ABATIÁ,PR,05876933554,63913754629085,True,True
Tara Rodriguez,86,ANGRA DOS REIS,RJ,99306697368,47247939595554,True,True
Steven Harrison,51,ACARI,RN,85529985211,71741468007600,True,True
Collin Dudley,70,ALTA FLORESTA D'OESTE,RO,25576849884,82897359261800,True,True
Andrew Sanchez,84,AMAJARI,RR,64432482877,95385513065462,True,True
Mary Harrison,62,ACEGUÁ,RS,73896442813,88072174322060,True,True
William Valdez,42,ABDON BATISTA,SC,40039270602,42970127945943,True,True
Rachel Hill,47,AMPARO DE SÃO FRANCISCO,SE,01409977331,67989740040396,True,True
James Valdez,63,ADAMANTINA,SP,17399355436,65027552897902,True,True
Dr. Tammie Barnes,86,ABREULÂNDIA,TO,16206889726,16305605667494,True,True
Donna Campbell,89,ACRELÂNDIA,AC,79752943306,71621029791322,True,True
Matthew Sellers,35,ÁGUA BRANCA,AL,65634196582,53283198853364,True,True
Darren Steele,43,ALVARÃES,AM,59213956843,96486821398330,True,True
Brandon Walker,60,SERRA DO NAVIO,AP,91132461278,23470836729708,True,True
Taylor Garner,84,ABAÍRA,BA,45849431098,58149339750648,True,True
Frank Smith,30,ABAIARA,CE,90173860966,14598238941948,True,True
Taylor Marshall,33,BRASÍLIA,DF,24284513249,62420640959332,True,True
Jason Sweeney,76,AFONSO CLÁUDIO,ES,34395237215,34850475269996,True,True
Alexander Sparks,82,ABADIA DE GOIÁS,GO,86438838322,98989187152890,True,True
Loretta Scott,49,AÇAILÂNDIA,MA,93440108384,12215809713507,True,True
Michael Chambers,87,ABADIA DOS DOURADOS,MG,83752533919,80522749078595,True,True
Samuel Freeman,75,ÁGUA CLARA,MS,75056221538,07049091924457,True,True
Nicholas Martin,65,ACORIZAL,MT,47417211089,76633874139227,True,True
Mrs. Mary Smith,71,ABAETETUBA,PA,58084385780,15957220582532,True,True
Jeffery Goodman,67,ÁGUA BRANCA,PB,08347115400,72903914908493,True,True
Barbara Ashley,26,ABREU E LIMA,PE,12635390924,92948826285000,True,True
Lisa Ellis,68,ACAUÃ,PI,67609195057,76895946873048,True,True
Haley Winters,60,ABATIÁ,PR,31983471909,35916356749490,True,True
Lisa Padilla,64,ANGRA DOS REIS,RJ,92133632492,08274339520868,True,True
William Manning,61,ACARI,RN,23459620706,00909989195067,True,True
Spencer Contreras,53,ALTA FLORESTA D'OESTE,RO,67887276608,52288306093189,True,True
Kiara Cannon,41,AMAJARI,RR,97116328106,43426144011232,True,True
Sara Gilmore,34,ACEGUÁ,RS,84671262053,21547987809809,True,True
Sara Carpenter,81,ABDON BATISTA,SC,91645722503,00764621291103,True,True
Andrew Bryant,46,AMPARO DE SÃO FRANCISCO,SE,16745681773,02360853172963,True,True
Brad Valdez,80,ADAMANTINA,SP,67659570064,64205859878182,True,True
Tabitha Smith,24,ABREULÂNDIA,TO,08234526030,42374812302151,True,True
Diana Thomas,24,ACRELÂNDIA,AC,75416326190,98918877076221,True,True
Suzanne Mills,59,ÁGUA BRANCA,AL,71349681547,17762476245270,True,True
Shannon Ross,65,ALVARÃES,AM,03437598376,63421363826620,True,True
Joseph Powell,84,SERRA DO NAVIO,AP,20558516327,68320081943452,True,True
Michelle Hodges,56,ABAÍRA,BA,70258045680,22931318175352,True,True
Jacob Jackson,59,ABAIARA,CE,21025225988,63282246712881,True,True
Jennifer Coleman,53,BRASÍLIA,DF,12810788910,71306512510321,True,True
Lauren Pearson,38,AFONSO CLÁUDIO,ES,47488372417,03730595298942,True,True
Brittany Williamson,31,ABADIA DE GOIÁS,GO,11275955126,29717889163674,True,True
Joseph Terry,53,AÇAILÂNDIA,MA,88228202660,85346880594730,True,True
Gary Gardner,45,ABADIA DOS DOURADOS,MG,93380604119,75769556597525,True,True
Spencer Graham,43,ÁGUA CLARA,MS,45649560862,56160811515376,True,True
Eric Wilkins,78,ACORIZAL,MT,24377033301,32700759545919,True,True
Heather Delacruz,62,ABAETETUBA,PA,81853210277,60328040285681,True,True
Mark Lyons,38,ÁGUA BRANCA,PB,31054954798,52091002777255,True,True
Jessica Walters,87,ABREU E LIMA,PE,43733900294,97296816664656,True,True
Yvonne Cannon,19,ACAUÃ,PI,61658111672,09370744292017,True,True
Shawn Oconnell,76,ABATIÁ,PR,91726174549,03964464395887,True,True
Michelle Wise,42,ANGRA DOS REIS,RJ,10054902959,02260644325442,True,True
Earl Hall,54,ACARI,RN,60617807612,42217694897341,True,True
Daniel King,42,ALTA FLORESTA D'OESTE,RO,09668402162,63421619422779,True,True
Jeremiah Moore,59,AMAJARI,RR,89606915859,52073063763744,True,True
Alexander Krause,67,ACEGUÁ,RS,81736286889,41595393221387,True,True
Miranda Bishop,23,ABDON BATISTA,SC,80700264566,44560236666440,True,True
Jared Gomez,58,AMPARO DE SÃO FRANCISCO,SE,48197278180,40346520952125,True,True
Laurie Schmitt,80,ADAMANTINA,SP,76142086768,57507969666624,True,True
Gregory Allen,45,ABREULÂNDIA,TO,96416392852,23586758765503,True,True
Sarah Robbins,38,ACRELÂNDIA,AC,53183441004,20986877929851,True,True
Elizabeth Reynolds,19,ÁGUA BRANCA,AL,76611890033,28211910716626,True,True
Shirley Alvarado,73,ALVARÃES,AM,31786090406,62598268608564,True,True
Leslie Washington,64,SERRA DO NAVIO,AP,55131343658,47057240236637,True,True
Monica Blankenship,32,ABAÍRA,BA,75462033680,34184165938490,True,True
Ashley Manning,60,ABAIARA,CE,10227717872,11091746847410,True,True
Mary Welch,83,BRASÍLIA,DF,43660051667,61704751605689,True,True
Tamara Greer,79,AFONSO CLÁUDIO,ES,98366060250,62671462182520,True,True
Jennifer Pope,72,ABADIA DE GOIÁS,GO,68854973807,06586264347180,True,True
Rebecca Stone,18,AÇAILÂNDIA,MA,72797344057,49003297703309,True,True
Patrick Barrett,50,ABADIA DOS DOURADOS,MG,21411888650,61801188994973,True,True
Steven Rivera,58,ÁGUA CLARA,MS,21990968155,12544798058977,True,True
Vincent Bean,28,ACORIZAL,MT,01790068860,74641239629000,True,True
Kurt Kim,86,ABAETETUBA,PA,08724156515,86163865393730,True,True
Amanda Johnson,25,ÁGUA BRANCA,PB,56572366103,45822473641752,True,True
Drew Jones,21,ABREU E LIMA,PE,61247730239,24461135521198,True,True
Kimberly Evans,21,ACAUÃ,PI,87755382370,02932350459530,True,True
Paula Turner,47,ABATIÁ,PR,34817266864,83903849053808,True,True
Kimberly Parsons,59,ANGRA DOS REIS,RJ,23143518197,97505486253360,True,True
Christopher Davis,51,ACARI,RN,41058234340,47595443777688,True,True
Tyler Lewis,30,ALTA FLORESTA D'OESTE,RO,68974013584,71060399452630,True,True
John Peters,69,AMAJARI,RR,74734503958,47419339957614,True,True
Jesse Carter,44,ACEGUÁ,RS,74752815230,01759763360201,True,True
Corey Simmons,42,ABDON BATISTA,SC,32430588307,55033970124313,True,True
Kathleen Conway,34,AMPARO DE SÃO FRANCISCO,SE,07425835622,35385347362760,True,True
Julie Smith,78,ADAMANTINA,SP,00244187738,33215111723877,True,True
Katelyn Roach,82,ABREULÂNDIA,TO,01875141359,40192790809750,True,True
Mason Austin,74,ACRELÂNDIA,AC,05435419913,28874881892901,True,True
Dana Stewart,72,ÁGUA BRANCA,AL,65601192707,22157629044040,True,True
Kyle Walsh,42,ALVARÃES,AM,77075349724,68203696004850,True,True
Charlene Hicks,38,SERRA DO NAVIO,AP,10899412262,09967450157706,True,True
Amy Richards,18,ABAÍRA,BA,55984497654,61728147067933,True,True
Robert Rodriguez,76,ABAIARA,CE,74069125523,60644594051352,True,True
Nicholas Torres,38,BRASÍLIA,DF,00210960400,32910837570181,True,True
Michael Leach,26,AFONSO CLÁUDIO,ES,33622285265,25360538235364,True,True
Amber Rodriguez,29,ABADIA DE GOIÁS,GO,50249717603,75914398604866,True,True
Jennifer Vega,72,AÇAILÂNDIA,MA,07987219010,79752308160779,True,True
Kristen Morgan Dds,68,ABADIA DOS DOURADOS,MG,96631273250,15315345431358,True,True
David Foster,45,ÁGUA CLARA,MS,73859318390,23005507699005,True,True
Sharon Marquez,26,ACORIZAL,MT,79319497818,63821080357900,True,True
Teresa Lee,20,ABAETETUBA,PA,79899973394,65826633759235,True,True
Tracy Bowen,67,ÁGUA BRANCA,PB,92345949406,90881197707953,True,True
Daniel Hill,61,ABREU E LIMA,PE,96304339666,69536428086100,True,True
Christopher Garrett,19,ACAUÃ,PI,42632298946,28870690402036,True,True
Jessica Potter,47,ABATIÁ,PR,23076993259,77573345977103,True,True
Todd Ellis,73,ANGRA DOS REIS,RJ,08981155070,04789254382108,True,True
Jessica Mejia,63,ACARI,RN,07821650528,96295281438628,True,True
Michael Shelton,63,ALTA FLORESTA D'OESTE,RO,93680189362,56833953596250,True,True
Amy Wiggins,37,AMAJARI,RR,33589230100,34766184006158,True,True
Austin Rodriguez,52,ACEGUÁ,RS,37904884615,59236150356833,True,True
Jill Woods,67,ABDON BATISTA,SC,83640395395,04089128081027,True,True
Eric Campbell,69,AMPARO DE SÃO FRANCISCO,SE,65601553076,25003659049806,True,True
William Jackson,70,ADAMANTINA,SP,87851203830,07951056700318,True,True
Drew Bright,40,ABREULÂNDIA,TO,74305623021,03302573820041,True,True
Jennifer Davis,69,ACRELÂNDIA,AC,97294061114,37375935447906,True,True
Leah Gutierrez,33,ÁGUA BRANCA,AL,94374572473,14649676835535,True,True
Jamie Ortega,24,ALVARÃES,AM,74762375446,87501611441300,True,True
Calvin Phillips,77,SERRA DO NAVIO,AP,02556172088,05120308064249,True,True
Jennifer Lawson,48,ABAÍRA,BA,98552963469,26536614168796,True,True
Lawrence Montes,42,ABAIARA,CE,63259073370,82886316233299,True,True
Gary Chambers,40,BRASÍLIA,DF,70550916083,83905377046370,True,True
Claudia Johnson,34,AFONSO CLÁUDIO,ES,89355634200,37387068428371,True,True
Olivia Bridges,56,ABADIA DE GOIÁS,GO,15456214202,20803673556896,True,True
Kylie Sims,68,AÇAILÂNDIA,MA,41685956416,56796013539439,True,True
Terry Scott,58,ABADIA DOS DOURADOS,MG,56015987898,73651185098712,True,True
Juan Welch,36,ÁGUA CLARA,MS,34940493350,60696295012625,True,True
John Mckinney,81,ACORIZAL,MT,32261449364,74565974106062,True,True
Denise Lopez,34,ABAETETUBA,PA,59203566180,50656166711400,True,True
John Perry,88,ÁGUA BRANCA,PB,55008345419,87990464034156,True,True
Mrs. Tammy Dominguez,58,ABREU E LIMA,PE,71858135818,86936951743306,True,True
Chloe Daniels,66,ACAUÃ,PI,40258377658,01055706668530,True,True
Nicole Bowen,42,ABATIÁ,PR,28582115580,43489990649387,True,True
William Horn,68,ANGRA DOS REIS,RJ,53023441650,80589280242166,True,True
Sara Lane,89,ACARI,RN,03793552640,28391660792163,True,True
Angela Johnson,30,ALTA FLORESTA D'OESTE,RO,05267063339,23530412972033,True,True
John Rivera,20,AMAJARI,RR,56168420525,07835030005479,True,True
Amy Williams,58,ACEGUÁ,RS,73826875702,37585758355001,True,True
Brenda Gardner,45,ABDON BATISTA,SC,44148136030,66423031093404,True,True
Ronald Jackson,82,AMPARO DE SÃO FRANCISCO,SE,43531985302,00340409654270,True,True
Larry Arnold,54,ADAMANTINA,SP,12468545036,91115574437348,True,True
Kenneth Walls,71,ABREULÂNDIA,TO,70979353408,61784613939008,True,True
Francisco Garcia,63,ACRELÂNDIA,AC,42699085561,83710147709991,True,True
Mark Murray,39,ÁGUA BRANCA,AL,48624924871,55401671897091,True,True
Robert Cole,63,ALVARÃES,AM,13033948987,95024170741805,True,True
Ashley Patterson,53,SERRA DO NAVIO,AP,80515535273,03499011117770,True,True
Mark Tyler,66,ABAÍRA,BA,09027130434,75294395054354,True,True
Megan Webb,68,ABAIARA,CE,89018937380,56771748230652,True,True
Timothy Stevens,51,BRASÍLIA,DF,14179120658,53771021682901,True,True
Jessica Russell,90,AFONSO CLÁUDIO,ES,30985636726,34804379227230,True,True
Brandon Higgins,24,ABADIA DE GOIÁS,GO,08729539129,52086005866481,True,True
Timothy Young,84,AÇAILÂNDIA,MA,52234680239,01809827179405,True,True
Vincent Ellison,84,ABADIA DOS DOURADOS,MG,23138716148,57967099781939,True,True
Victoria Hart,34,ÁGUA CLARA,MS,68333198716,66279437671167,True,True
Dawn Moody,76,ACORIZAL,MT,36564064217,85600787363490,True,True
Christopher Tate,20,ABAETETUBA,PA,71811261213,76097701929984,True,True
Marvin Neal,33,ÁGUA BRANCA,PB,79590259405,23113944193033,True,True
Justin Russell,46,ABREU E LIMA,PE,97832504005,22315007475320,True,True
Victoria Sparks,49,ACAUÃ,PI,69987522700,84202778191505,True,True
Eric Brown,26,ABATIÁ,PR,05266445912,68098656721105,True,True
Heather Mercado,24,ANGRA DOS REIS,RJ,13726095802,97629857835012,True,True
Andrew Frey,20,ACARI,RN,62696952442,32965747523602,True,True
Timothy Gill,22,ALTA FLORESTA D'OESTE,RO,09919690147,57498522953880,True,True
Lisa Fox,34,AMAJARI,RR,74770388470,08733437696183,True,True
Michelle Mitchell,43,ACEGUÁ,RS,12440733695,35076829519140,True,True
Aaron Martin,88,ABDON BATISTA,SC,37066464206,16271986836566,True,True
Cathy Estrada,54,AMPARO DE SÃO FRANCISCO,SE,65287222181,98598530655940,True,True
Phillip Weaver,64,ADAMANTINA,SP,00161207871,05648300407475,True,True
Kelli Martinez,69,ABREULÂNDIA,TO,41905401531,83450493711028,True,True
Stephanie Wilson,72,ACRELÂNDIA,AC,05722760102,35935813874638,True,True
Alexis Crosby,44,ÁGUA BRANCA,AL,33873905302,61055616277970,True,True
Lucas Hendricks,83,ALVARÃES,AM,73264551390,32852602052473,True,True
Kevin Cunningham,25,SERRA DO NAVIO,AP,81020120800,31810222570706,True,True
Zachary Hernandez,66,ABAÍRA,BA,38390553422,82312606380795,True,True
Holly Davis,21,ABAIARA,CE,77545721330,01184254638417,True,True
Amanda Miller,29,BRASÍLIA,DF,98923278459,52870916678070,True,True
Tara Torres,88,AFONSO CLÁUDIO,ES,97940984268,82909940431147,True,True
Kristen Smith,86,ABADIA DE GOIÁS,GO,30896036910,49402025833404,True,True
Tammy Phillips,62,AÇAILÂNDIA,MA,59133564469,14648334445549,True,True
Nathan Wilson,26,ABADIA DOS DOURADOS,MG,18514447858,55357670937811,True,True
Laura Haley,40,ÁGUA CLARA,MS,13536045600,23422012971547,True,True
Julie Zuniga,74,ACORIZAL,MT,43632267227,03156047757068,True,True
Cameron Brown,84,ABAETETUBA,PA,29882019358,09682952365547,True,True
Cody Osborne,61,ÁGUA BRANCA,PB,64811814614,52487201399070,True,True
Dawn Martin,20,ABREU E LIMA,PE,39370972951,40284991325666,True,True
Justin Johnston,88,ACAUÃ,PI,17186717330,52431384264505,True,True
Joseph Daniels,67,ABATIÁ,PR,76403817205,82177932310879,True,True
Sherry Fischer,87,ANGRA DOS REIS,RJ,48049775038,56282093682398,True,True
Emily Walker,54,ACARI,RN,62661354859,14744776949716,True,True
Sarah Lutz,84,ALTA FLORESTA D'OESTE,RO,56570359410,74706344629918,True,True
Dalton Pennington,63,AMAJARI,RR,47935566470,01070912466649,True,True
Lauren Waller,64,ACEGUÁ,RS,11681647451,55847628908943,True,True
Katie Christensen,52,ABDON BATISTA,SC,50965658236,64078299041889,True,True
Brenda Thomas,41,AMPARO DE SÃO FRANCISCO,SE,72799355838,98644243746134,True,True
Francisco Roberts,52,ADAMANTINA,SP,54836645158,89592141861222,True,True
Christopher Steele,36,ABREULÂNDIA,TO,46368906200,52784909677084,True,True
Megan Stewart,35,ACRELÂNDIA,AC,33599818207,70162042681977,True,True
Colleen Cook,67,ÁGUA BRANCA,AL,40855505516,79360387583908,True,True
Stephanie Evans,38,ALVARÃES,AM,18093240330,39541846909113,True,True
Tyler Wolf,87,SERRA DO NAVIO,AP,81875541500,43376746533784,True,True
Steven Gonzales,75,ABAÍRA,BA,63874389260,07518049906618,True,True
Robert Franklin,49,ABAIARA,CE,27920822165,89690841156270,True,True
Justin Roberts,22,BRASÍLIA,DF,64152065915,92843917306682,True,True
Patrick Miles,28,AFONSO CLÁUDIO,ES,54889486518,83794877469852,True,True
Wesley Myers,58,ABADIA DE GOIÁS,GO,17367916050,40724232417873,True,True
Craig Jones,57,AÇAILÂNDIA,MA,56178703511,94005358475345,True,True
Jennifer Jones,24,ABADIA DOS DOURADOS,MG,46960576660,66493508280600,True,True
Dale Clark,34,ÁGUA CLARA,MS,12620970024,03726086389666,True,True
Anthony Stark,38,ACORIZAL,MT,48098760200,21090178695530,True,True
Jose Webb,48,ABAETETUBA,PA,34291725604,88540229967222,True,True
Margaret Heath,75,ÁGUA BRANCA,PB,06903682910,93762289217140,True,True
Amy Martin,44,ABREU E LIMA,PE,85006959860,51275729042700,True,True
William Vega,73,ACAUÃ,PI,40093047827,86111835668631,True,True
Brent Williams,72,ABATIÁ,PR,99705039011,47928881102095,True,True
Stephen Welch,34,ANGRA DOS REIS,RJ,38975719510,59784377959356,True,True
Jeffery Fox,83,ACARI,RN,21408637049,15315592692905,True,True
Jeffrey Henson,52,ALTA FLORESTA D'OESTE,RO,30157350207,89760534039506,True,True
Nicole Ruiz,78,AMAJARI,RR,58723530650,39474659635790,True,True
Jessica Silva,65,ACEGUÁ,RS,88185947376,79242797090915,True,True
Todd Leon,38,ABDON BATISTA,SC,40548831092,01949673381108,True,True
Angie Dodson,32,AMPARO DE SÃO FRANCISCO,SE,50040366405,17254404356049,True,True
Eric Jenkins,62,ADAMANTINA,SP,37126565992,73059691148404,True,True
Allen Reed,22,ABREULÂNDIA,TO,15897780145,71558814250034,True,True
Darren Patel,29,ACRELÂNDIA,AC,90156126761,99199752734747,True,True
Christina Hubbard,26,ÁGUA BRANCA,AL,32695651864,63186861554962,True,True
Tonya Nicholson,63,ALVARÃES,AM,91504908180,80023577657700,True,True
Crystal Wheeler,62,SERRA DO NAVIO,AP,29787952395,37447431447946,True,True
Billy Price,79,ABAÍRA,BA,57184773705,04053745218396,True,True
Amanda Flores,78,ABAIARA,CE,63894544228,43212970177411,True,True
Dana Guerrero,63,BRASÍLIA,DF,10145208273,55867753024707,True,True
Scott Padilla,74,AFONSO CLÁUDIO,ES,83196288307,97091844311475,True,True
Jennifer Shelton,20,ABADIA DE GOIÁS,GO,64905932629,74342091474645,True,True
Chad Green,49,AÇAILÂNDIA,MA,22304372082,90852103456494,True,True
Matthew Stanton,46,ABADIA DOS DOURADOS,MG,63766358650,60655487798298,True,True
Robert Tran,55,ÁGUA CLARA,MS,03310432971,50829049524706,True,True
Brian Gutierrez,68,ACORIZAL,MT,39839755420,36244248664302,True,True
Morgan Hernandez,65,ABAETETUBA,PA,95306547745,92791216961424,True,True
Christopher Murphy,67,ÁGUA BRANCA,PB,53453356802,70046608099597,True,True
Tammy Martinez,19,ABREU E LIMA,PE,51020093897,39871024612947,True,True
Nathan Dennis,57,ACAUÃ,PI,58207169060,94857912276204,True,True
Thomas George,51,ABATIÁ,PR,74216243177,44600398051087,True,True
Courtney Williams,48,ANGRA DOS REIS,RJ,12075575444,67577049352968,True,True
John Martinez,41,ACARI,RN,06670713932,62169670394540,True,True
Roy Avila,61,ALTA FLORESTA D'OESTE,RO,73520359820,72526391962882,True,True
Stephanie Holland,67,AMAJARI,RR,42215213680,22687906409300,True,True
Kimberly King,73,ACEGUÁ,RS,59711289229,12585156797042,True,True
Kelly Hawkins,56,ABDON BATISTA,SC,28829090980,64614654393904,True,True
Alexa Watson,79,AMPARO DE SÃO FRANCISCO,SE,01668808846,33673462574052,True,True
Marc Miller,63,ADAMANTINA,SP,25005337270,27584749094494,True,True
Stephen Cook,51,ABREULÂNDIA,TO,33551667403,97610568740798,True,True
Jill Cannon,36,ACRELÂNDIA,AC,77412661795,60263364656415,True,True
Amanda Martinez,40,ÁGUA BRANCA,AL,86439131893,49098305066275,True,True
Ellen Mccarthy,80,ALVARÃES,AM,45836444269,22460917449486,True,True
Nicholas Norris,57,SERRA DO NAVIO,AP,21240629800,89312709227939,True,True
Rebecca Chavez,77,ABAÍRA,BA,15528054419,88954378095370,True,True
Michael Ramirez,23,ABAIARA,CE,13957409764,54097858588703,True,True
Jeremy Keith,28,BRASÍLIA,DF,55862383492,48855496968599,True,True
Helen Aguilar,84,AFONSO CLÁUDIO,ES,54305407655,01408426001466,True,True
Renee Gonzalez,41,ABADIA DE GOIÁS,GO,32218450577,54922976001708,True,True
Jessica Trevino,73,AÇAILÂNDIA,MA,42946130096,80310349414567,True,True
Patrick Johnson,46,ABADIA DOS DOURADOS,MG,63118541717,39437957527494,True,True
David Thompson,72,ÁGUA CLARA,MS,41832931978,48032559743181,True,True
Lauren Wong,40,ACORIZAL,MT,93216445399,56383323170916,True,True
Kristen Crawford,57,ABAETETUBA,PA,43158073706,32732143465063,True,True
Nathan Johnson,67,ÁGUA BRANCA,PB,78939525710,44077643591476,True,True
Ashley Robinson,89,ABREU E LIMA,PE,00011273658,17650382405932,True,True
Madison Harris,68,ACAUÃ,PI,42903460060,77456018778993,True,True
Paul Lee,21,ABATIÁ,PR,38105548801,99060072251941,True,True
Diana Nichols,36,ANGRA DOS REIS,RJ,73750162590,27734098639486,True,True
